Code,Description,Link
0x000000AD,VIDEO\_DRIVER\_DEBUG\_REPORT\_REQUEST,https://learn.microsoft.com/en-us/windows-hardware/drivers/debugger/bug-check-0xad--video-driver-debug-report-request
0x000000B1,BGI\_DETECTED\_VIOLATION,https://learn.microsoft.com/en-us/windows-hardware/drivers/debugger/bug-check-0xb1--bgi-detected-violation
0x000000B4,VIDEO\_DRIVER\_INIT\_FAILURE,https://learn.microsoft.com/en-us/windows-hardware/drivers/debugger/bug-check-0xb4--video-driver-init-failure
0x000000B8,ATTEMPTED\_SWITCH\_FROM\_DPC,https://learn.microsoft.com/en-us/windows-hardware/drivers/debugger/bug-check-0xb8--attempted-switch-from-dpc
0x000000B9,CHIPSET\_DETECTED\_ERROR,https://learn.microsoft.com/en-us/windows-hardware/drivers/debugger/bug-check-0xb9--chipset-detected-error
0x000000BA,SESSION\_HAS\_VALID\_VIEWS\_ON\_EXIT,https://learn.microsoft.com/en-us/windows-hardware/drivers/debugger/bug-check-0xba--session-has-valid-views-on-exit
0x000000BB,NETWORK\_BOOT\_INITIALIZATION\_FAILED,https://learn.microsoft.com/en-us/windows-hardware/drivers/debugger/bug-check-0xbb--network-boot-initialization-failed
0x000000BC,NETWORK\_BOOT\_DUPLICATE\_ADDRESS,https://learn.microsoft.com/en-us/windows-hardware/drivers/debugger/bug-check-0xbc--network-boot-duplicate-address
0x000000BD,INVALID\_HIBERNATED\_STATE,https://learn.microsoft.com/en-us/windows-hardware/drivers/debugger/bug-check-0xbd--invalid-hibernated-state
0x000000BE,ATTEMPTED\_WRITE\_TO\_READONLY\_MEMORY,https://learn.microsoft.com/en-us/windows-hardware/drivers/debugger/bug-check-0xbe--attempted-write-to-readonly-memory
0x000000BF,MUTEX\_ALREADY\_OWNED,https://learn.microsoft.com/en-us/windows-hardware/drivers/debugger/bug-check-0xbf--mutex-already-owned
0x000000C1,SPECIAL\_POOL\_DETECTED\_MEMORY\_CORRUPTION,https://learn.microsoft.com/en-us/windows-hardware/drivers/debugger/bug-check-0xc1--special-pool-detected-memory-corruption
0x000000C2,BAD\_POOL\_CALLER,https://learn.microsoft.com/en-us/windows-hardware/drivers/debugger/bug-check-0xc2--bad-pool-caller
0x000000C4,DRIVER\_VERIFIER\_DETECTED\_VIOLATION,https://learn.microsoft.com/en-us/windows-hardware/drivers/debugger/bug-check-0xc4--driver-verifier-detected-violation
0x000000C5,DRIVER\_CORRUPTED\_EXPOOL,https://learn.microsoft.com/en-us/windows-hardware/drivers/debugger/bug-check-0xc5--driver-corrupted-expool
0x000000C6,DRIVER\_CAUGHT\_MODIFYING\_FREED\_POOL,https://learn.microsoft.com/en-us/windows-hardware/drivers/debugger/bug-check-0xc6--driver-caught-modifying-freed-pool
0x000000C7,TIMER\_OR\_DPC\_INVALID,https://learn.microsoft.com/en-us/windows-hardware/drivers/debugger/bug-check-0xc7--timer-or-dpc-invalid
0x000000C8,IRQL\_UNEXPECTED\_VALUE,https://learn.microsoft.com/en-us/windows-hardware/drivers/debugger/bug-check-0xc8--irql-unexpected-value
0x000000C9,DRIVER\_VERIFIER\_IOMANAGER\_VIOLATION,https://learn.microsoft.com/en-us/windows-hardware/drivers/debugger/bug-check-0xc9--driver-verifier-iomanager-violation
0x000000CA,PNP\_DETECTED\_FATAL\_ERROR,https://learn.microsoft.com/en-us/windows-hardware/drivers/debugger/bug-check-0xca--pnp-detected-fatal-error
0x000000CB,DRIVER\_LEFT\_LOCKED\_PAGES\_IN\_PROCESS,https://learn.microsoft.com/en-us/windows-hardware/drivers/debugger/bug-check-0xcb--driver-left-locked-pages-in-process
0x000000CC,PAGE\_FAULT\_IN\_FREED\_SPECIAL\_POOL,https://learn.microsoft.com/en-us/windows-hardware/drivers/debugger/bug-check-0xcc--page-fault-in-freed-special-pool
0x000000CD,PAGE\_FAULT\_BEYOND\_END\_OF\_ALLOCATION,https://learn.microsoft.com/en-us/windows-hardware/drivers/debugger/bug-check-0xcd--page-fault-beyond-end-of-allocation
0x000000CE,DRIVER\_UNLOADED\_WITHOUT\_CANCELLING\_PENDING\_OPERATIONS,https://learn.microsoft.com/en-us/windows-hardware/drivers/debugger/bug-check-0xce--driver-unloaded-without-cancelling-pending-operations
0x000000CF,TERMINAL\_SERVER\_DRIVER\_MADE\_INCORRECT\_MEMORY\_REFERENCE,https://learn.microsoft.com/en-us/windows-hardware/drivers/debugger/bug-check-0xcf--terminal-server-driver-made-incorrect-memory-reference
0x000000D0,DRIVER\_CORRUPTED\_MMPOOL,https://learn.microsoft.com/en-us/windows-hardware/drivers/debugger/bug-check-0xd0--driver-corrupted-mmpool
0x000000D1,DRIVER\_IRQL\_NOT\_LESS\_OR\_EQUAL,https://learn.microsoft.com/en-us/windows-hardware/drivers/debugger/bug-check-0xd1--driver-irql-not-less-or-equal
0x000000D2,BUGCODE\_ID\_DRIVER,https://learn.microsoft.com/en-us/windows-hardware/drivers/debugger/bug-check-0xd2--bugcode-id-driver
0x000000D3,DRIVER\_PORTION\_MUST\_BE\_NONPAGED,https://learn.microsoft.com/en-us/windows-hardware/drivers/debugger/bug-check-0xd3--driver-portion-must-be-nonpaged
0x000000D4,SYSTEM\_SCAN\_AT\_RAISED\_IRQL\_CAUGHT\_IMPROPER\_DRIVER\_UNLOAD,https://learn.microsoft.com/en-us/windows-hardware/drivers/debugger/bug-check-0xd4--system-scan-at-raised-irql-caught-improper-driver-unlo
0x000000D5,DRIVER\_PAGE\_FAULT\_IN\_FREED\_SPECIAL\_POOL,https://learn.microsoft.com/en-us/windows-hardware/drivers/debugger/bug-check-0xd5--driver-page-fault-in-freed-special-pool
0x000000D6,DRIVER\_PAGE\_FAULT\_BEYOND\_END\_OF\_ALLOCATION,https://learn.microsoft.com/en-us/windows-hardware/drivers/debugger/bug-check-0xd6--driver-page-fault-beyond-end-of-allocation
0x000000D7,DRIVER\_UNMAPPING\_INVALID\_VIEW,https://learn.microsoft.com/en-us/windows-hardware/drivers/debugger/bug-check-0xd7--driver-unmapping-invalid-view
0x000000D8,DRIVER\_USED\_EXCESSIVE\_PTES,https://learn.microsoft.com/en-us/windows-hardware/drivers/debugger/bug-check-0xd8--driver-used-excessive-ptes
0x000000D9,LOCKED\_PAGES\_TRACKER\_CORRUPTION,https://learn.microsoft.com/en-us/windows-hardware/drivers/debugger/bug-check-0xd9--locked-pages-tracker-corruption
0x000000DA,SYSTEM\_PTE\_MISUSE,https://learn.microsoft.com/en-us/windows-hardware/drivers/debugger/bug-check-0xda--system-pte-misuse
0x000000DB,DRIVER\_CORRUPTED\_SYSPTES,https://learn.microsoft.com/en-us/windows-hardware/drivers/debugger/bug-check-0xdb--driver-corrupted-sysptes
0x000000DC,DRIVER\_INVALID\_STACK\_ACCESS,https://learn.microsoft.com/en-us/windows-hardware/drivers/debugger/bug-check-0xdc--driver-invalid-stack-access
0x000000DE,POOL\_CORRUPTION\_IN\_FILE\_AREA,https://learn.microsoft.com/en-us/windows-hardware/drivers/debugger/bug-check-0xde--pool-corruption-in-file-area
0x000000E0,ACPI\_BIOS\_FATAL\_ERROR,https://learn.microsoft.com/en-us/windows-hardware/drivers/debugger/bug-check-0xe0--acpi-bios-fatal-error
0x000000E1,WORKER\_THREAD\_RETURNED\_AT\_BAD\_IRQL,https://learn.microsoft.com/en-us/windows-hardware/drivers/debugger/bug-check-0xe1--worker-thread-returned-at-bad-irql
0x000000E2,MANUALLY\_INITIATED\_CRASH,https://learn.microsoft.com/en-us/windows-hardware/drivers/debugger/bug-check-0xe2--manually-initiated-crash
0x000000E3,RESOURCE\_NOT\_OWNED,https://learn.microsoft.com/en-us/windows-hardware/drivers/debugger/bug-check-0xe3--resource-not-owned
0x000000E4,WORKER\_INVALID,https://learn.microsoft.com/en-us/windows-hardware/drivers/debugger/bug-check-0xe4--worker-invalid
0x000000E6,DRIVER\_VERIFIER\_DMA\_VIOLATION,https://learn.microsoft.com/en-us/windows-hardware/drivers/debugger/bug-check-0xe6--driver-verifier-dma-violation
0x000000E7,INVALID\_FLOATING\_POINT\_STATE,https://learn.microsoft.com/en-us/windows-hardware/drivers/debugger/bug-check-0xe7--invalid-floating-point-state
0x000000E8,INVALID\_CANCEL\_OF\_FILE\_OPEN,https://learn.microsoft.com/en-us/windows-hardware/drivers/debugger/bug-check-0xe8--invalid-cancel-of-file-open
0x000000E9,ACTIVE\_EX\_WORKER\_THREAD\_TERMINATION,https://learn.microsoft.com/en-us/windows-hardware/drivers/debugger/bug-check-0xe9--active-ex-worker-thread-termination
0x000000EA,THREAD\_STUCK\_IN\_DEVICE\_DRIVER,https://learn.microsoft.com/en-us/windows-hardware/drivers/debugger/bug-check-0xea--thread-stuck-in-device-driver
0x000000EB,DIRTY\_MAPPED\_PAGES\_CONGESTION,https://learn.microsoft.com/en-us/windows-hardware/drivers/debugger/bug-check-0xeb--dirty-mapped-pages-congestion
